('6d9h', 'B', 3.6, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 99.70414201183432)
#('5gmk', 'q', 3.4, 'ELECTRON MICROSCOPY', '2bay', 'A', 1.5, 'X-RAY DIFFRACTION', 100.0)
('6myy', 'F', 3.8, 'ELECTRON MICROSCOPY', '4jdv', 'B', 1.65, 'X-RAY DIFFRACTION', 96.11650485436893)
('6e1h', 'C', 3.5, 'ELECTRON MICROSCOPY', '1vhh', 'A', 1.7, 'X-RAY DIFFRACTION', 99.35483870967742)
#('6e14', 'C', 4.0, 'ELECTRON MICROSCOPY', '1ze3', 'C', 1.84, 'X-RAY DIFFRACTION', 100.0)
#('6cnc', 'R', 4.1, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
#('6cnb', 'R', 4.1, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
#('6cna', 'C', 4.6, 'ELECTRON MICROSCOPY', '1pb8', 'A', 1.45, 'X-RAY DIFFRACTION', 98.01324503311258)
#('6cnf', 'R', 4.5, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
#('6cnd', 'R', 4.8, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
('6cnk', 'J', 3.7, 'ELECTRON MICROSCOPY', '3uo1', 'L', 1.64, 'X-RAY DIFFRACTION', 95.87155963302752)
('6cnj', 'J', 3.4, 'ELECTRON MICROSCOPY', '3uo1', 'L', 1.64, 'X-RAY DIFFRACTION', 95.87155963302752)
('6cno', 'H', 4.7, 'ELECTRON MICROSCOPY', '4q5u', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
('6cnn', 'H', 3.5, 'ELECTRON MICROSCOPY', '4q5u', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
('6cnm', 'H', 3.4, 'ELECTRON MICROSCOPY', '1ahr', 'A', 1.8, 'X-RAY DIFFRACTION', 96.96969696969697)
#('6j8j', 'C', 3.2, 'ELECTRON MICROSCOPY', '5fdy', 'A', 1.85, 'X-RAY DIFFRACTION', 96.66666666666667)
('5ij9', 'A', 3.7, 'ELECTRON MICROSCOPY', '4i4t', 'A', 1.8, 'X-RAY DIFFRACTION', 98.39816933638444)
('5ij0', 'A', 3.8, 'ELECTRON MICROSCOPY', '4i4t', 'A', 1.8, 'X-RAY DIFFRACTION', 98.39816933638444)
#('6qjh', 'B', 3.3, 'ELECTRON MICROSCOPY', '6dcw', 'T', 2.0, 'X-RAY DIFFRACTION', 100.0)
#('6byo', 'A', 3.6, 'ELECTRON MICROSCOPY', '4zw2', 'B', 1.86, 'X-RAY DIFFRACTION', 100.0)
('5vai', 'B', 4.1, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 99.70501474926253)
#('6f40', 'U', 3.7, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
#('6f41', 'U', 4.3, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
#('6mdo', 'H', 3.9, 'ELECTRON MICROSCOPY', '1jth', 'A', 2.0, 'X-RAY DIFFRACTION', 100.0)
#('6mdn', 'J', 4.4, 'ELECTRON MICROSCOPY', '5w5c', 'A', 1.85, 'X-RAY DIFFRACTION', 100.0)
#('6mdm', 'J', 4.4, 'ELECTRON MICROSCOPY', '5w5c', 'A', 1.85, 'X-RAY DIFFRACTION', 100.0)
#('6dm1', 'D', 4.2, 'ELECTRON MICROSCOPY', '3t9x', 'B', 1.82, 'X-RAY DIFFRACTION', 95.8041958041958)
#('6dm0', 'D', 4.4, 'ELECTRON MICROSCOPY', '3t9x', 'B', 1.82, 'X-RAY DIFFRACTION', 95.8041958041958)
#('3g37', 'Z', 6.0, 'ELECTRON MICROSCOPY', '6ict', 'E', 1.95, 'X-RAY DIFFRACTION', 95.65217391304348)
#('5wek', 'D', 4.6, 'ELECTRON MICROSCOPY', '3t9x', 'B', 1.82, 'X-RAY DIFFRACTION', 95.8041958041958)
('5k7l', 'B', 3.78, 'ELECTRON MICROSCOPY', '4q5u', 'A', 1.8, 'X-RAY DIFFRACTION', 100.0)
#('6hum', 'S', 3.34, 'ELECTRON MICROSCOPY', '6a7k', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
#('6dnh', 'C', 3.4, 'ELECTRON MICROSCOPY', '2rhk', 'C', 1.95, 'X-RAY DIFFRACTION', 96.55172413793103)
#('5iz7', 'B', 3.7, 'ELECTRON MICROSCOPY', '5kvd', 'E', 1.65, 'X-RAY DIFFRACTION', 99.0909090909091)
#('5vms', 'B', 3.7, 'ELECTRON MICROSCOPY', '4rjd', 'A', 2.0, 'X-RAY DIFFRACTION', 100.0)
('5vm7', 'B', 5.7, 'ELECTRON MICROSCOPY', '3kqj', 'A', 1.7, 'X-RAY DIFFRACTION', 99.76133651551312)
#('5ftn', 'F', 3.3, 'ELECTRON MICROSCOPY', '5b6c', 'A', 1.55, 'X-RAY DIFFRACTION', 100.0)
('6cmo', 'L', 4.5, 'ELECTRON MICROSCOPY', '2hff', 'A', 1.95, 'X-RAY DIFFRACTION', 95.260663507109)
