('6d9h', 'B', 3.6, 'ELECTRON MICROSCOPY', '1got', 'B', 2.0, 'X-RAY DIFFRACTION', 99.70414201183432)
('6e14', 'C', 4.0, 'ELECTRON MICROSCOPY', '1ze3', 'C', 1.84, 'X-RAY DIFFRACTION', 100.0)
('6cnc', 'E', 4.1, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
('6cnb', 'E', 4.1, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
('6cnf', 'E', 4.5, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
('6cnd', 'E', 4.8, 'ELECTRON MICROSCOPY', '1dzf', 'A', 1.9, 'X-RAY DIFFRACTION', 100.0)
('6cnk', 'J', 3.7, 'ELECTRON MICROSCOPY', '4p3c', 'L', 1.94, 'X-RAY DIFFRACTION', 98.1651376146789)
('6cnj', 'J', 3.4, 'ELECTRON MICROSCOPY', '4p3c', 'L', 1.94, 'X-RAY DIFFRACTION', 98.1651376146789)
('6cno', 'H', 4.7, 'ELECTRON MICROSCOPY', '4ik1', 'A', 2.0, 'X-RAY DIFFRACTION', 98.63013698630137)
('6cnn', 'H', 3.5, 'ELECTRON MICROSCOPY', '4ik1', 'A', 2.0, 'X-RAY DIFFRACTION', 98.63013698630137)
('6cnm', 'H', 3.4, 'ELECTRON MICROSCOPY', '6dae', 'A', 2.0, 'X-RAY DIFFRACTION', 98.48484848484848)
('6fq6', 'H', 4.0, 'ELECTRON MICROSCOPY', '1kx3', 'D', 2.0, 'X-RAY DIFFRACTION', 100.0)
('6j8j', 'C', 3.2, 'ELECTRON MICROSCOPY', '5feb', 'A', 1.35, 'X-RAY DIFFRACTION', 98.33333333333333)
('5ij9', 'A', 3.7, 'ELECTRON MICROSCOPY', '4i4t', 'A', 1.8, 'X-RAY DIFFRACTION', 98.39816933638444)
('5ij0', 'A', 3.8, 'ELECTRON MICROSCOPY', '4i4t', 'A', 1.8, 'X-RAY DIFFRACTION', 98.39816933638444)
('6f40', 'U', 3.7, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
('6f41', 'U', 4.3, 'ELECTRON MICROSCOPY', '4b0a', 'A', 1.97, 'X-RAY DIFFRACTION', 100.0)
('6mdo', 'H', 3.9, 'ELECTRON MICROSCOPY', '1jth', 'A', 2.0, 'X-RAY DIFFRACTION', 100.0)
